OBJECTID,Name & Size,Drive Time Start (MINUTES),Drive Time End (MINUTES),Facility: Name,Facility: DISTRICT,Facility: CountyNum,Facility: COUNTY,Facility: FeatureTyp,Facility: AccessType,Facility: O_PUBLIC,Facility: FEE,Facility: LATITUDE,Facility: LONGITUDE,Facility: Photo_1,Facility: Photo_2,Facility: Photo_3,Facility: Photo_4,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Shape_Length,Shape_Area,Sum TOTPOP_CY,Sum PCI_FY,Sum HISPPOP_CY,Sum NHSPWHT_CY
1,La Conchita Beach : 0 - 15,0,15,La Conchita Beach,4_South Central Coast,12,Ventura,Physical Access,Beach Access,Yes,No,34.363976,-119.449925,https://www.coastal.ca.gov/access-photos/13_ventura/02_Ventura_County_North/La_Conchita_Beach_SFS_2013_11_23_0399.jpg, , , ,,0,0,1.64914265353595,0.0049374281431605,40135,1092975,19153,18358
2,Punta Gorda Beach : 0 - 15,0,15,Punta Gorda Beach,4_South Central Coast,12,Ventura,Physical Access,Beach Access,Yes,No,34.355833,-119.431808, , , , ,,0,0,1.85649825856845,0.00512529918268493,23465,1138312,10284,11898
3,Crescent Beach (Crescent City) : 0 - 15,0,15,Crescent Beach (Crescent City),1_North Coast,1,Del Norte,Physical Access,Beach Access,Yes,No,41.743018,-124.169157,https://www.coastal.ca.gov/access-photos/02_del_norte/06_crescent_beach_to_lagoon_creek/Crescent_Beach_2013_07_02_5062.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/06_crescent_beach_to_lagoon_creek/Crescent_Beach_Overlook_trailhead_for_Last_Chance_section_of_Cal_Coastal_Trail_2013_07_02_5065.jpg, , ,,0,0,3.49825080370306,0.0119606789927915,15955,276916,2625,10617
4,Partington Cove Trail : 0 - 15,0,15,Partington Cove Trail,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.176999,-121.693797, , , , ,,0,0,0.794976387444538,0.000839644977134866,22,1017,6,15
5,Davenport Beach : 0 - 15,0,15,Davenport Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.008897,-122.193336,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Davenport_Bch_2013_05_15_3713.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Davenport_Bch_2013_05_15_3721.jpg, , ,,0,0,2.63755389306646,0.00500049733634792,26476,996120,4595,17640
6,Sharktooth Beach : 0 - 15,0,15,Sharktooth Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.003776,-122.185554, , , , ,,0,0,2.38998525145997,0.00715317191082982,32515,1112404,6270,20971
7,Yellow Bank Beach : 0 - 15,0,15,Yellow Bank Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.993213,-122.170523, , , , ,,0,0,2.41010555220838,0.00723069079434453,43377,1390679,9783,26478
8,Four Mile Beach : 0 - 15,0,15,Four Mile Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.966271,-122.123406,https://www.coastal.ca.gov/access-photos/09_santa_cruz/03_wilder_ranch_to_natural_bridges/Four_Mile_Bch_Wilder_Ranch_SP_2010_09_08_6981.jpg, , , ,,0,0,2.32779279462497,0.00749292855685723,68283,2579698,15191,42746
9,Ohlone Bluff Trail : 0 - 15,0,15,Ohlone Bluff Trail,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.954532,-122.092068, , , , ,,0,0,2.67350898738899,0.00711050376483626,96570,3645242,22196,61257
10,North Salmon Creek Beach : 0 - 15,0,15,North Salmon Creek Beach,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.356071,-123.066815,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/North_Salmon_Creek_Beach_2013_12_07_1341.jpg,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/North_Salmon_Creek_Beach_2013_12_07_1330.jpg,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/North_Salmon_Creek_Beach_2013_12_07_1346.jpg, ,,0,0,1.98603341686437,0.00353275775456961,622,47154,75,502
11,Marshall Gulch : 0 - 15,0,15,Marshall Gulch,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.37014,-123.074199, , , , ,,0,0,1.84864212181611,0.00339691057671711,567,43406,68,457
12,Schoolhouse Beach : 0 - 15,0,15,Schoolhouse Beach,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.375137,-123.077916,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/Sonoma_Coast_SP_Schoolhouse_Beach_2013_12_07_1353.jpg, , , ,,0,0,1.8082354024939,0.00335782331547689,565,42833,68,457
