OBJECTID,Name & Size,Drive Time Start (MINUTES),Drive Time End (MINUTES),Facility: Name,Facility: DISTRICT,Facility: CountyNum,Facility: COUNTY,Facility: FeatureTyp,Facility: AccessType,Facility: O_PUBLIC,Facility: FEE,Facility: LATITUDE,Facility: LONGITUDE,Facility: Photo_1,Facility: Photo_2,Facility: Photo_3,Facility: Photo_4,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Shape_Length,Shape_Area,Sum PCI_FY,Sum HISPPOP_CY,Sum NHSPWHT_CY,Sum NHSPBLK_CY,Sum NHSPAI_CY,Sum NHSPASN_CY,Sum NHSPPI_CY,Sum NHSPOTH_CY,Sum NHSPMLT_CY,Sum TOTPOP_CY
1,La Conchita Beach : 0 - 30,0,30,La Conchita Beach,4_South Central Coast,12,Ventura,Physical Access,Beach Access,Yes,No,34.363976,-119.449925,https://www.coastal.ca.gov/access-photos/13_ventura/02_Ventura_County_North/La_Conchita_Beach_SFS_2013_11_23_0399.jpg, , , ,,0,0,6.64584444320366,0.0645519434102196,14424976,321098,220233,10859,1856,33506,1044,764,12718,602912
2,Punta Gorda Beach : 0 - 30,0,30,Punta Gorda Beach,4_South Central Coast,12,Ventura,Physical Access,Beach Access,Yes,No,34.355833,-119.431808, , , , ,,0,0,6.00207940514421,0.0516654256579561,12817903,216989,196637,8463,1527,26355,680,693,11121,463147
3,Crescent Beach (Crescent City) : 0 - 30,0,30,Crescent Beach (Crescent City),1_North Coast,1,Del Norte,Physical Access,Beach Access,Yes,No,41.743018,-124.169157,https://www.coastal.ca.gov/access-photos/02_del_norte/06_crescent_beach_to_lagoon_creek/Crescent_Beach_2013_07_02_5062.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/06_crescent_beach_to_lagoon_creek/Crescent_Beach_Overlook_trailhead_for_Last_Chance_section_of_Cal_Coastal_Trail_2013_07_02_5065.jpg, , ,,0,0,8.12079503252086,0.0530477785041563,347039,4423,13286,759,1367,740,22,125,891,21655
4,Partington Cove Trail : 0 - 30,0,30,Partington Cove Trail,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.176999,-121.693797, , , , ,,0,0,1.89057529022542,0.00266317952815005,3004,17,44,0,0,1,0,0,1,69
5,Davenport Beach : 0 - 30,0,30,Davenport Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.008897,-122.193336,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Davenport_Bch_2013_05_15_3713.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Davenport_Bch_2013_05_15_3721.jpg, , ,,0,0,6.59462583713887,0.0383758299697048,6777234,32757,117121,2090,585,9009,245,349,6589,169266
6,Sharktooth Beach : 0 - 30,0,30,Sharktooth Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.003776,-122.185554, , , , ,,0,0,6.49463367438564,0.0403107506382201,6966539,33887,119792,2114,588,9133,247,353,6716,173392
7,Yellow Bank Beach : 0 - 30,0,30,Yellow Bank Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.993213,-122.170523, , , , ,,0,0,6.76838513106668,0.0420605741431648,7162835,38408,122029,2155,599,9430,247,358,6837,180663
8,Four Mile Beach : 0 - 30,0,30,Four Mile Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.966271,-122.123406,https://www.coastal.ca.gov/access-photos/09_santa_cruz/03_wilder_ranch_to_natural_bridges/Four_Mile_Bch_Wilder_Ranch_SP_2010_09_08_6981.jpg, , , ,,0,0,6.56798134626632,0.0491186505490587,7848157,70478,130711,2304,695,10541,262,424,7317,223424
9,Ohlone Bluff Trail : 0 - 30,0,30,Ohlone Bluff Trail,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.954532,-122.092068, , , , ,,0,0,6.71627031939657,0.0550793834190754,8247273,84254,135475,2351,757,11031,265,447,7596,242945
10,North Salmon Creek Beach : 0 - 30,0,30,North Salmon Creek Beach,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.356071,-123.066815,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/North_Salmon_Creek_Beach_2013_12_07_1341.jpg,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/North_Salmon_Creek_Beach_2013_12_07_1330.jpg,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/North_Salmon_Creek_Beach_2013_12_07_1346.jpg, ,,0,0,4.51405261705801,0.0487556432931729,1698080,3841,25558,233,137,542,33,36,877,31415
11,Marshall Gulch : 0 - 30,0,30,Marshall Gulch,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.37014,-123.074199, , , , ,,0,0,5.06204005719939,0.0414309665455272,1400730,2920,20636,174,106,427,28,30,714,25166
12,Schoolhouse Beach : 0 - 30,0,30,Schoolhouse Beach,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.375137,-123.077916,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/Sonoma_Coast_SP_Schoolhouse_Beach_2013_12_07_1353.jpg, , , ,,0,0,5.04049239536854,0.0400738817623059,1299335,2663,19113,163,98,393,26,30,673,23273
13,Duncans Landing : 0 - 30,0,30,Duncans Landing,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.395619,-123.092705,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/Duncans_Cove_stair_from_Duncans_Landing_2013_03_12_3477.jpg,https://www.coastal.ca.gov/access-photos/05_sonoma/06_sonoma_coast_state_park/Duncans_Cove_stair_from_Duncans_Landing_2013_03_12_3480.jpg, , ,,0,0,5.6044555934183,0.0316436405175707,665038,1120,9267,48,56,187,6,14,376,11175
14,Portuguese Beach : 0 - 30,0,30,Portuguese Beach,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.377769,-123.080137, , , , ,,0,0,5.25881703995418,0.037776130382266,1188267,2374,17193,149,88,352,26,23,620,20930
15,Franklin Point Trail : 0 - 30,0,30,Franklin Point Trail,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,No,37.155838,-122.354575, , , , ,,0,0,5.93771241212498,0.016025527978713,1192677,6324,20538,482,101,2389,63,77,1211,31376
16,Whitehouse Creek Beach Access : 0 - 30,0,30,Whitehouse Creek Beach Access,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,No,37.148054,-122.344576,https://www.coastal.ca.gov/access-photos/08_san_mateo/08_pigeon_point_to_ano_nuevo/Whitehouse_Creek_Bch_Ano_Nuevo_SP_2010_06_12_5990.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/08_pigeon_point_to_ano_nuevo/Whitehouse_Creek_Trail_Ano_Nuevo_SP_2010_06_10_5445.jpg, , ,,0,0,5.86053408709067,0.0160866302096412,1303570,7770,23974,619,140,2971,77,95,1530,37379
17,Beach Stairs (San Mateo County) : 0 - 30,0,30,Beach Stairs (San Mateo County),2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,No,37.243505,-122.418045, , , , ,,0,0,5.3980637914418,0.0221942050688633,580688,3733,7972,52,16,549,10,16,350,12860
18,Pescadero State Beach (Central) : 0 - 30,0,30,Pescadero State Beach (Central),2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,No,37.264407,-122.412538, , , , ,,0,0,5.59739618321292,0.0227645009289276,642799,3846,8751,57,17,668,11,18,396,13944
19,Pescadero State Beach (North) : 0 - 30,0,30,Pescadero State Beach (North),2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,Yes,37.274633,-122.409067,https://www.coastal.ca.gov/access-photos/08_san_mateo/07_pescadero_state_beach_to_bean_hollow_state_beach/Pescadero_SB_2013_05_15_3670.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/07_pescadero_state_beach_to_bean_hollow_state_beach/Pescadero_SB_middle_unit_2010_08_23_6604.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/07_pescadero_state_beach_to_bean_hollow_state_beach/Pescadero_SB_middle_unit_2010_08_23_6609.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/07_pescadero_state_beach_to_bean_hollow_state_beach/Pescadero_SB_north_unit_2010_08_23_6592.jpg,,0,0,5.76401649757774,0.0230480223434202,703611,3925,9301,65,17,914,12,19,443,14887
20,Pomponio State Beach : 0 - 30,0,30,Pomponio State Beach,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,Yes,37.299418,-122.406283,https://www.coastal.ca.gov/access-photos/08_san_mateo/06_cowell_ranch_to_pomponio_state_beach/Pomponio_SB_2010_08_23_6581.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/06_cowell_ranch_to_pomponio_state_beach/Pomponio_SB_2013_05_15_3666.jpg, , ,,0,0,6.3651501756789,0.0242750347221045,1157769,4598,13585,141,27,3140,48,43,866,22659
21,San Gregorio State Beach : 0 - 30,0,30,San Gregorio State Beach,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,Yes,37.322922,-122.403531,https://www.coastal.ca.gov/access-photos/08_san_mateo/06_cowell_ranch_to_pomponio_state_beach/San_Gregorio_SB_2010_06_10_5397.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/06_cowell_ranch_to_pomponio_state_beach/San_Gregorio_SB_2010_06_10_5403.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/06_cowell_ranch_to_pomponio_state_beach/San_Gregorio_SB_2013_05_15_3662.jpg, ,,0,0,5.79086162983585,0.0402123011063278,2457093,8073,25693,293,54,7745,142,97,1847,44205
22,San Gregorio Toll Road Access : 0 - 30,0,30,San Gregorio Toll Road Access,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,Yes,37.326096,-122.39892, , , , ,,0,0,5.8600749728907,0.0406672264904466,2901885,8990,29900,360,57,9680,174,107,2206,51759
23,East Breakwater : 0 - 30,0,30,East Breakwater,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,Yes,37.501066,-122.472477, , , , ,,0,0,5.53424051985077,0.0639491168391401,41277106,222656,388862,30280,1540,384573,8336,3511,40801,1081361
24,Gray Whale Cove State Beach : 0 - 30,0,30,Gray Whale Cove State Beach,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,Yes,37.564616,-122.514253, , , , ,,0,0,4.32838831221186,0.0536831861926848,57046793,240895,516088,49552,2267,491820,8907,4434,51925,1366529
25,Linda Mar Beach : 0 - 30,0,30,Linda Mar Beach,2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,Yes,37.598033,-122.501746,https://www.coastal.ca.gov/access-photos/08_san_mateo/03_pacifica/Linda_Mar_Bch_2010_02_14_3453.jpg,https://www.coastal.ca.gov/access-photos/08_san_mateo/03_pacifica/Linda_Mar_Bch_2010_02_14_3498.jpg, , ,,0,0,5.0662521384792,0.0614360323812402,65441879,277304,600743,75275,2611,523999,9811,5089,60439,1556181
26,Phillip Burton Memorial Beach : 0 - 30,0,30,Phillip Burton Memorial Beach,2_North Central,6,San Francisco,Physical Access,Beach Access,Yes,No,37.70769,-122.502231,https://www.coastal.ca.gov/access-photos/07_san_francisco/05_san_francisco_west/Phillip_Burton_Mem_Bch_2010_05_23_4884.jpg, , , ,,0,0,6.75201196524418,0.0743638565821273,86300380,373923,786919,132908,3719,635076,11779,6831,82194,2034826
27,Waddell Creek Beach : 0 - 30,0,30,Waddell Creek Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.09527,-122.278904,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Waddell_Creek_Beach_2013_11_17_9628.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Waddell_Creek_Beach_SFS_2013_11_17_9686.jpg, , ,,0,0,5.14848376925944,0.0267967688085209,3369916,20449,56776,1431,316,6242,162,214,3771,89649
28,Scott Creek Beach : 0 - 30,0,30,Scott Creek Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.040296,-122.229892,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Scott_Creek_Beach_2013_11_17_9738.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Scott_Crk_Bch_2010_06_12_5950.jpg, , ,,0,0,5.63326682106226,0.0338866193411307,5852197,30120,100950,1959,532,8412,233,318,5885,148788
29,Walker Creek Delta : 0 - 30,0,30,Walker Creek Delta,2_North Central,5,Marin,Physical Access,Beach Access,Yes,No,38.218578,-122.924174,https://www.coastal.ca.gov/access-photos/06_marin/02_tomales_dillon_beach/Walker_Creek_Delta_SFS_2015_07_11_L1130184.jpg, , , ,,0,0,5.36282932234816,0.0775168877974681,5793450,38481,106306,2466,782,7106,362,253,5329,161235
30,Keys Creek Fishing Access : 0 - 30,0,30,Keys Creek Fishing Access,2_North Central,5,Marin,Physical Access,Beach Access,Yes,No,38.226306,-122.916284,"https://www.coastal.ca.gov/access-photos/06_marin/02_tomales_dillon_beach/Keys_Creek_Access_SFS_2015_07_11_L1130190_1.jpg ",https://www.coastal.ca.gov/access-photos/06_marin/02_tomales_dillon_beach/Keys_Creek_Access_SFS_2015_07_11_L1130191_2.jpg, , ,,0,0,5.94925040075703,0.0805207569801567,6321741,46867,117454,2937,975,8439,420,287,6028,183585
31,North Horseshoe Cove : 0 - 30,0,30,North Horseshoe Cove,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.614165,-123.365864,https://www.coastal.ca.gov/access-photos/05_sonoma/03_salt_point_to_ocean_cove/North_Horseshoe_Cove_SFS_2015_07_15_3568_1.jpg,https://www.coastal.ca.gov/access-photos/05_sonoma/03_salt_point_to_ocean_cove/North_Horseshoe_Cove_SFS_2015_07_15_3565_2.jpg, , ,,0,0,3.82433759800202,0.0216661739164736,120952,499,2094,15,16,33,2,2,64,2754
32,Stillwater Cove Bluffs : 0 - 30,0,30,Stillwater Cove Bluffs,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.548594,-123.301173, , , , ,,0,0,3.27537735178585,0.0136572682200507,91916,115,964,8,7,12,0,0,23,1156
33,Stump Beach Cove : 0 - 30,0,30,Stump Beach Cove,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.579878,-123.333625,https://www.coastal.ca.gov/access-photos/05_sonoma/03_salt_point_to_ocean_cove/Stump_Beach_Cove_Salt_Point_SP_2004_09_10_0078.jpg,https://www.coastal.ca.gov/access-photos/05_sonoma/03_salt_point_to_ocean_cove/Stump_Beach_Cove_SFS_2015_07_15_3553_1.jpg, , ,,0,0,3.59059946242134,0.0153772088866236,103657,295,1486,11,9,22,1,1,43,1892
34,Russian Gulch (Sonoma) : 0 - 30,0,30,Russian Gulch (Sonoma),2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.466802,-123.15578,https://www.coastal.ca.gov/access-photos/05_sonoma/04_stillwater_cove_to_russian_gulch/Russian_Gulch_2013_12_07_1412.jpg, , , ,,0,0,4.10969358573293,0.0210910362785847,297812,486,3769,20,23,65,1,7,166,4609
35,Horseshoe Point : 0 - 30,0,30,Horseshoe Point,2_North Central,4,Sonoma,Physical Access,Beach Access,Yes,No,38.607383,-123.370103, , , , ,,0,0,3.56953509940189,0.0226456756470969,127540,500,2156,16,17,34,2,2,67,2821
36,Hearn Gulch : 0 - 30,0,30,Hearn Gulch,1_North Coast,3,Mendocino,Physical Access,Beach Access,Yes,No,38.85198,-123.648289,https://www.coastal.ca.gov/access-photos/04_mendocino/10_point_arena_to_hearn_gulch/Hearn_Gulch_SFS_2015_07_15_3591_1.jpg,https://www.coastal.ca.gov/access-photos/04_mendocino/10_point_arena_to_hearn_gulch/Hearn_Gulch_SFS_2015_07_15_3592_2.jpg,https://www.coastal.ca.gov/access-photos/04_mendocino/10_point_arena_to_hearn_gulch/Hearn_Gulch_SFS_2015_07_15_3594_3.jpg, ,,0,0,5.865503046465,0.0206903539024236,104155,876,2654,15,104,34,4,3,94,3805
37,Collins Landing : 0 - 30,0,30,Collins Landing,1_North Coast,3,Mendocino,Physical Access,Beach Access,Yes,No,38.794501,-123.568718, , , , ,,0,0,5.90554395590137,0.0194808929317916,105427,874,2645,15,104,34,4,3,93,3793
38,St. Orres Creek : 0 - 30,0,30,St. Orres Creek,1_North Coast,3,Mendocino,Physical Access,Beach Access,Yes,No,38.792663,-123.56341, , , , ,,0,0,5.9507112899667,0.019438804777907,105532,874,2646,15,104,34,4,3,93,3794
39,Fish Rock Beach : 0 - 30,0,30,Fish Rock Beach,1_North Coast,3,Mendocino,Physical Access,Beach Access,Yes,Yes,38.80312,-123.580074, , , , ,,0,0,6.32185042008488,0.0198377218689171,105063,874,2641,15,104,34,4,3,93,3791
40,Point Arena-Stornetta Unit (South Entrance) : 0 - 30,0,30,Point Arena-Stornetta Unit (South Entrance),1_North Coast,3,Mendocino,Physical Access,Beach Access,Yes,No,38.916708,-123.703799,https://www.coastal.ca.gov/access-photos/04_mendocino/10_point_arena_to_hearn_gulch/Point_Arena_Stornetta_south_entrance_SFS_2015_07_15_3623_1.jpg,https://www.coastal.ca.gov/access-photos/04_mendocino/10_point_arena_to_hearn_gulch/Point_Arena_Stornetta_south_entrance_SFS_2015_07_15_3624_2.jpg,https://www.coastal.ca.gov/access-photos/04_mendocino/10_point_arena_to_hearn_gulch/Point_Arena_Stornetta_south_entrance_SFS_2015_07_15_3627_3.jpg,https://www.coastal.ca.gov/access-photos/04_mendocino/10_point_arena_to_hearn_gulch/Point_Arena_Stornetta_south_entrance_SFS_2015_07_15_3628_4.jpg,,0,0,5.85620214186741,0.0241763078609744,103046,884,2821,15,106,35,4,3,101,3994
41,Albion River Beach : 0 - 30,0,30,Albion River Beach,1_North Coast,3,Mendocino,Physical Access,Beach Access,Yes,Yes,39.227308,-123.769374, , , , ,,0,0,7.20043627263135,0.0471161719947673,395987,3200,10185,60,159,232,11,14,441,14346
